id,altura_fin_derecha,altura_fin_izquierda,altura_inicio_derecha,altura_inicio_izquierda,categoria,departamento_id,departamento_nombre,fuente,localidad_censal_id,localidad_censal_nombre,nombre,provincia_id,provincia_nombre
1401401039500,2848,2849,2730,2731,CALLE,14014,Capital,INDEC,14014010,Córdoba,VERAGUA,14,Córdoba
1401401038760,598,599,500,501,CALLE,14014,Capital,INDEC,14014010,Córdoba,TANTINGASTA,14,Córdoba
1401401039550,3298,3299,2900,2901,CALLE,14014,Capital,INDEC,14014010,Córdoba,VICENTE FATONE,14,Córdoba
1401401038825,4398,4399,4300,4301,CALLE,14014,Capital,INDEC,14014010,Córdoba,TELESFORO LOZADA,14,Córdoba
1401401038835,10498,10499,10400,10401,CALLE,14014,Capital,INDEC,14014010,Córdoba,TELSTEN,14,Córdoba
1401401039635,2348,2349,2050,2051,CALLE,14014,Capital,INDEC,14014010,Córdoba,VIGO,14,Córdoba
1401401038965,6548,6549,6450,6451,CALLE,14014,Capital,INDEC,14014010,Córdoba,TITO LIVIO,14,Córdoba
1401401039010,3598,3599,3470,3471,CALLE,14014,Capital,INDEC,14014010,Córdoba,TOMAS BARO,14,Córdoba
1401401039760,2898,2899,2600,2601,CALLE,14014,Capital,INDEC,14014010,Córdoba,VREY ANTONIO DE OLAGUER FELIU,14,Córdoba
1401401039840,7848,7849,7700,7701,CALLE,14014,Capital,INDEC,14014010,Córdoba,WERNER HEISEMBERG,14,Córdoba
1401401039940,798,799,700,701,CALLE,14014,Capital,INDEC,14014010,Córdoba,ZAPALA,14,Córdoba
1401401039225,1998,1999,1800,1801,CALLE,14014,Capital,INDEC,14014010,Córdoba,TROPERO SOSA,14,Córdoba
1401401080085,0,0,0,0,CALLE,14014,Capital,INDEC,14014010,Córdoba,DEL CULTRUM,14,Córdoba
1402101000150,0,0,0,0,CALLE,14021,Colón,INDEC,14021010,Agua de Oro,CALLE S N,14,Córdoba
1402101000650,0,0,0,0,CALLE,14021,Colón,INDEC,14021010,Agua de Oro,LOS SAUCES,14,Córdoba
1402101000665,0,0,0,0,CALLE,14021,Colón,INDEC,14021010,Agua de Oro,MANUEL ANGEL DE LA PLAZA,14,Córdoba
1401401039755,4958,4959,4930,4931,CALLE,14014,Capital,INDEC,14014010,Córdoba,VOLTA,14,Córdoba
1402101000770,0,0,0,0,CALLE,14021,Colón,INDEC,14021010,Agua de Oro,SAN CLEMENTE,14,Córdoba
1402101000790,0,0,0,0,CALLE,14021,Colón,INDEC,14021010,Agua de Oro,SAN NICOLAS,14,Córdoba
1401401039925,8098,8099,8050,8051,CALLE,14014,Capital,INDEC,14014010,Córdoba,YUCAT,14,Córdoba
1401401080010,0,0,0,0,AV,14014,Capital,INDEC,14014010,Córdoba,AV DE CIRCUNVALACION AGUSTIN TOSCO,14,Córdoba
1402105000130,0,0,0,0,CALLE,14021,Colón,INDEC,14021050,Colonia Caroya,40 BIS,14,Córdoba
1402105000150,0,0,0,0,CALLE,14021,Colón,INDEC,14021050,Colonia Caroya,45 BIS,14,Córdoba
1401401080080,0,0,0,0,CALLE,14014,Capital,INDEC,14014010,Córdoba,DE LOS VALSECITOS,14,Córdoba
1402105000225,0,0,0,0,CALLE,14021,Colón,INDEC,14021050,Colonia Caroya,B,14,Córdoba
1402105000455,0,0,0,0,CALLE,14021,Colón,INDEC,14021050,Colonia Caroya,RAIMUNDO COSEANI,14,Córdoba
1402101000570,0,0,0,0,CALLE,14021,Colón,INDEC,14021010,Agua de Oro,LA COLINA,14,Córdoba
1402111000020,0,0,0,0,CALLE,14021,Colón,INDEC,14021110,El Manzano,CALLE S N,14,Córdoba
1402101000655,0,0,0,0,CALLE,14021,Colón,INDEC,14021010,Agua de Oro,LOURDES,14,Córdoba
1402111000135,0,0,0,0,CALLE,14021,Colón,INDEC,14021110,El Manzano,LOS ALGARROBOS,14,Córdoba
1402111000150,0,0,0,0,CALLE,14021,Colón,INDEC,14021110,El Manzano,MIRANDA,14,Córdoba
1402105000145,0,0,0,0,CALLE,14021,Colón,INDEC,14021050,Colonia Caroya,45,14,Córdoba
1402105000205,0,0,0,0,CALLE,14021,Colón,INDEC,14021050,Colonia Caroya,A,14,Córdoba
1402105000345,0,0,0,0,CALLE,14021,Colón,INDEC,14021050,Colonia Caroya,JOSE ALICE,14,Córdoba
1402105000440,0,0,0,0,PJE,14021,Colón,INDEC,14021050,Colonia Caroya,PJE 129,14,Córdoba
1402105080045,0,0,0,0,CALLE,14021,Colón,INDEC,14021050,Colonia Caroya,MALVINAS ARGENTINAS,14,Córdoba
1402114000930,0,0,0,0,CALLE,14021,Colón,INDEC,14021140,Jesús María,PANAMA,14,Córdoba
1402114000980,0,0,0,0,CALLE,14021,Colón,INDEC,14021140,Jesús María,PIO DE LEON,14,Córdoba
1402114001245,0,0,0,0,CALLE,14021,Colón,INDEC,14021140,Jesús María,SOL DE MAYO,14,Córdoba
1402114000080,0,0,0,0,CALLE,14021,Colón,INDEC,14021140,Jesús María,AYACUCHO,14,Córdoba
1402115000165,0,0,0,0,CALLE,14021,Colón,INDEC,14021150,La Calera,BENITO Q MARTIN,14,Córdoba
1402115000290,0,0,0,0,CALLE,14021,Colón,INDEC,14021150,La Calera,CALLE S N,14,Córdoba
1402114000695,0,0,0,0,CALLE,14021,Colón,INDEC,14021140,Jesús María,JOSE INGENIEROS,14,Córdoba
1402114000875,0,0,0,0,CALLE,14021,Colón,INDEC,14021140,Jesús María,NAPOLES,14,Córdoba
1402114001335,0,0,0,0,CALLE,14021,Colón,INDEC,14021140,Jesús María,VIEDMA,14,Córdoba
1402115001740,0,0,0,0,CALLE,14021,Colón,INDEC,14021150,La Calera,CJAL RETTO,14,Córdoba
1402115002110,0,0,0,0,CALLE,14021,Colón,INDEC,14021150,La Calera,LOS AROMOS,14,Córdoba
1402115002375,0,0,0,0,CALLE,14021,Colón,INDEC,14021150,La Calera,RIO NEGRO,14,Córdoba
1402115002440,0,0,0,0,CALLE,14021,Colón,INDEC,14021150,La Calera,SALTA,14,Córdoba
1402116000055,0,0,0,0,CALLE,14021,Colón,INDEC,14021160,La Granja,CALLE S N,14,Córdoba
1402116000395,0,0,0,0,CALLE,14021,Colón,INDEC,14021160,La Granja,EL DURAZNO,14,Córdoba
1402116000470,0,0,0,0,CALLE,14021,Colón,INDEC,14021160,La Granja,EL TABAQUILLO,14,Córdoba
1402116000605,0,0,0,0,CALLE,14021,Colón,INDEC,14021160,La Granja,LAS ROSAS,14,Córdoba
1402116000735,0,0,0,0,CALLE,14021,Colón,INDEC,14021160,La Granja,QUEBRACHO COLORADO,14,Córdoba
1402119000325,0,0,0,0,CALLE,14021,Colón,INDEC,14021190,Malvinas Argentinas,SOLD H R BORDON,14,Córdoba
1402120000140,0,0,0,0,CALLE,14021,Colón,INDEC,14021200,Mendiolaza,CALLE 9,14,Córdoba
1402120000405,0,0,0,0,CALLE,14021,Colón,INDEC,14021200,Mendiolaza,CALLE S N,14,Córdoba
1402120000530,0,0,0,0,CALLE,14021,Colón,INDEC,14021200,Mendiolaza,COLON,14,Córdoba
1402119000030,0,0,0,0,CALLE,14021,Colón,INDEC,14021190,Malvinas Argentinas,ANGEL CABRERA,14,Córdoba
1402119000120,0,0,0,0,CALLE,14021,Colón,INDEC,14021190,Malvinas Argentinas,CBO H VARAS,14,Córdoba
1402120000645,0,0,0,0,CALLE,14021,Colón,INDEC,14021200,Mendiolaza,EL BENTEVEO,14,Córdoba
1402120000080,0,0,0,0,CALLE,14021,Colón,INDEC,14021200,Mendiolaza,CALLE 10,14,Córdoba
1402120001005,0,0,0,0,CALLE,14021,Colón,INDEC,14021200,Mendiolaza,MIRAFLORES,14,Córdoba
1402123000385,0,0,0,0,CALLE,14021,Colón,INDEC,14021230,Río Ceballos,CALLE S N,14,Córdoba
1402120000630,0,0,0,0,CALLE,14021,Colón,INDEC,14021200,Mendiolaza,DEL SOL,14,Córdoba
1402120080010,0,0,0,0,CALLE,14021,Colón,INDEC,14021200,Mendiolaza,CALLE 6,14,Córdoba
1402123001530,0,0,0,0,CALLE,14021,Colón,INDEC,14021230,Río Ceballos,JOSE MARMOL,14,Córdoba
1402123001590,0,0,0,0,CALLE,14021,Colón,INDEC,14021230,Río Ceballos,JULIO LUQUE FERREYRA,14,Córdoba
