Empresa,Resolución,Fecha,Expediente,Multa (UT),Unidad,Multa ($),Discriminación,Tipo Sanción,Año
Telecom Argentina S.A.,699-DISPAFTICDINAU/2015,26/01/15,13950-EXPCNC/2013,$ 1.600.000,UT,$ 75.040,Cambio de Domicilio,Multa,2015
Telecom Argentina S.A.,700-DISPAFTICDINAU/2015,26/01/15,5587-EXPCNC/2015,$ 4.900.000,UT,$ 229.810,Reparación Servicio,Multa,2015
Telecom Argentina S.A.,760-DISPAFTICDINAU/2015,17/01/15,9129-EXPCNC/2014,$ 2.400.000,UT,$ 112.560,Reparación Servicio,Multa,2015
Telecom Argentina S.A.,638-DISPAFTICDINAU/2015,21/01/15,11101-EXPCNC/2014,$ 2.300.000,UT,$ 107.870,Reparación Servicio,Multa,2015
Telecom Argentina S.A.,701-DISPAFTICDINAU/2015,26/01/15,4597-EXPCNC/2015,$ 4.800.000,UT,$ 225.120,Reparación Servicio,Multa,2015
Telefónica de Argentina S.A.,761-DISPAFTICDINAU/2015,17/01/15,109-EXPCNC/2014,$ 2.000.000,UT,$ 93.800,Reparación Servicio,Multa,2015
Telecom Argentina S.A.,762-DISPAFTICDINAU/2015,17/01/15,2267-EXPAFTIC/2015,$ 800.000,UT,$ 37.520,Reparación Servicio,Multa,2015
Telefónica de Argentina S.A.,702-DISPAFTICDINAU/2015,29/01/15,2582-EXPAFTIC/2015,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2015
Telecom Personal S.A.,763-DISPAFTICDINAU/2015,17/01/15,5515-EXPCNC/2015,$ 1.600.000,UT,$ 75.040,Reparación Servicio,Multa,2015
Telefónica de Argentina S.A.,764-DISPAFTICDINAU/2015,17/01/15,5194-EXPCNC/2015,$ 400.000,UT,$ 18.760,Reparación Servicio,Multa,2015
Telefónica de Argentina S.A.,703-DISPAFTICDINAU/2015,30/01/15,5187-EXPCNC/2015,$ 400.000,UT,$ 18.760,Instalación Servicio,Multa,2015
Telecom Argentina S.A.,639-DISPAFTICDINAU/2015,21/01/15,1198-EXPCNC/2014,$ 3.000.000,UT,$ 140.700,Reparación Servicio,Multa,2015
Telecentro,704-DISPAFTICDINAU/2015,04/01/15,5240-EXPCNC/2015,$ 800.000,UT,$ 37.520,Instalación Servicio,Multa,2015
Telecom Argentina S.A.,765-DISPAFTICDINAU/2015,17/01/15,11700-EXPCNC/2014,$ 800.000,UT,$ 37.520,Instalación Servicio,Multa,2015
Telefónica Moviles Argentina,705-DISPAFTICDINAU/2015,04/01/15,3194-EXPCNC/2015,$ 400.000,UT,$ 18.760,Código de Programación,Multa,2015
Telecom Argentina S.A.,766-DISPAFTICDINAU/2015,17/01/15,1222-EXPAFTIC/2015,$ 900.000,UT,$ 42.210,Cambio de Domicilio,Multa,2015
Telecom Personal S.A.,767-DISPAFTICDINAU/2015,17/01/15,847-EXPAFTIC/2015,$ 800.000,UT,$ 37.520,Facturación,Multa,2015
Telefónica Moviles Argentina,768-DISPAFTICDINAU/2015,17/01/15,1506-EXPAFTIC/2015,$ 400.000,UT,$ 18.760,Facturación,Multa,2015
Telecom Argentina S.A.,769-DISPAFTICDINAU/2015,17/01/15,5059-EXPCNC/2015,$ 800.000,UT,$ 37.520,Facturación,Multa,2015
Telefónica de Argentina S.A.,770-DISPAFTICDINAU/2015,17/01/15,483-EXPAFTIC/2015,$ 100.000,UT,$ 4.690,Facturación,Multa,2015
Telefónica de Argentina S.A.,771-DISPAFTICDINAU/2015,17/01/15,1382-EXPAFTIC/2015,$ 400.000,UT,$ 18.760,Facturación,Multa,2015
Telecom Argentina S.A.,772-DISPAFTICDINAU/2015,18/01/15,2871-EXPCNC/2014,$ 12.000.000,UT,$ 562.800,Reparación Servicio,Multa,2015
Telecom Argentina S.A.,640-DISPAFTICDINAU/2015,21/01/15,8458-EXPCNC/2014,$ 1.200.000,UT,$ 56.280,Cambio de Domicilio,Multa,2015
Telefónica de Argentina S.A.,773-DISPAFTICDINAU/2015,18/01/15,1789-EXPCNC/2015,$ 2.200.000,UT,$ 103.180,Reparación Servicio,Multa,2015
