,nro_registro_interno,fecha_ingreso_denuncia,tema,subtema,referido_tipo,nacionalidad,provincia,localidad,genero,edad_aparente,embarazada,discapacidad,provincia_indec_id
468,594655505,2020-05-07,Trata,Explotación sexual,Victima indirecta - familiar,Argentina,No especifica,No especifica,Mujer,No especifica,No,Si,No especifica
470,3505655505,2020-05-10,Trata,Persona desaparecida,Victima directa,Argentina,Buenos Aires,González Catán,Mujer,21.0,No,No,6.0
471,3505655505,2020-05-10,Trata,Persona desaparecida,Acusado,Argentina,Buenos Aires,González Catán,Hombre,21.0,No,No,6.0
477,7525655505,2020-05-12,Trata,Otro,Victima directa,Argentina,No especifica,No especifica,Mujer,4.0,No,No,No especifica
478,7525655505,2020-05-12,Trata,Otro,Victima indirecta - familiar,Argentina,No especifica,No especifica,Hombre,26.0,No,No,No especifica
479,7525655505,2020-05-12,Trata,Otro,Imputado,Argentina,No especifica,No especifica,Hombre,47.0,No,No,No especifica
497,2575655505,2020-05-17,Trata,Posible captación,Victima directa,Argentina,Formosa,Formosa,Mujer,21.0,No,No,34.0
502,9494755505,2020-05-19,Trata,"Explotación laboral, reducción a la servidumbre o situaciones análogas",Victima directa,Argentina,No especifica,No especifica,Mujer,29.0,No,No,No especifica
503,9494755505,2020-05-19,Trata,"Explotación laboral, reducción a la servidumbre o situaciones análogas",Victima directa,Argentina,Corrientes,No especifica,Hombre,25.0,No,No,18.0
504,9494755505,2020-05-19,Trata,"Explotación laboral, reducción a la servidumbre o situaciones análogas",Imputado,Argentina,Buenos Aires,General Rodriguez,Mujer,No especifica,No,No,6.0
505,3594755505,2020-05-19,Trata,Explotación laboral,Acusado,Argentina,Buenos Aires,General Rodriguez,Mujer,No especifica,No,No,6.0
506,8405755505,2020-05-19,Trata,Explotación sexual,Victima directa,Paraguay,Buenos Aires,Olivos,Mujer,30.0,No,No,6.0
509,6505755505,2020-05-20,Trata,Explotación laboral,Acusado,Argentina,No especifica,No especifica,Hombre,No especifica,No,No,No especifica
510,8415755505,2020-05-20,Trata,Otro,Victima directa,Argentina,Catamarca,San Antonio,Mujer,8.0,No,No,10.0
511,8415755505,2020-05-20,Trata,Otro,Victima directa,Argentina,Catamarca,San Antonio,Mujer,No especifica,No,No,10.0
512,8415755505,2020-05-20,Trata,Otro,Acusado,Argentina,Catamarca,San Antonio,Hombre,No especifica,No,No,10.0
513,8425755505,2020-05-21,Trata,Explotación sexual,Acusado,Paraguay,Buenos Aires,Buenos Aires,Mujer,50.0,No,No,6.0
514,1594655505,2020-05-07,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,Paraguay,Buenos Aires,Buenos Aires,Mujer,50.0,No,No,6.0
515,7525755505,2020-05-23,Trata,Persona desaparecida,Victima directa,Argentina,Buenos Aires,Gregorio de Laferrere,Mujer,21.0,No,No,6.0
518,8435755505,2020-05-23,Trata,Persona desaparecida,Victima directa,Argentina,Buenos Aires,Gregorio de Laferrere,Mujer,No especifica,No,No,6.0
520,6535755505,2020-05-24,Trata,Explotación sexual,Acusado,Peru,No especifica,No especifica,Hombre,No especifica,No,No,No especifica
522,8445755505,2020-05-24,Trata,Persona desaparecida,Victima directa,Argentina,Buenos Aires,San Martín,Mujer,15.0,No,No,6.0
526,4545755505,2020-05-25,Trata,Persona desaparecida,Victima directa,Argentina,Buenos Aires,San Martín,Mujer,15.0,No,No,6.0
527,5545755505,2020-05-25,Trata,Posible captación,Acusado,Argentina,Buenos Aires,Tandil,Mujer,No especifica,No,No,6.0
529,8455755505,2020-05-26,Trata,"Grooming, pornografía infantil",Victima directa,Argentina,Corrientes,No especifica,Hombre,13.0,No,No,18.0
553,3505846505,2020-06-02,Trata,"Explotación sexual, persona desaparecida",Victima directa,Argentina,No especifica,No especifica,Mujer,29.0,No,No,No especifica
554,3505846505,2020-06-02,Trata,"Explotación sexual, persona desaparecida",Victima indirecta - familiar,Argentina,Tierra del Fuego,Río Grande,Mujer,61.0,No,No,94.0
563,2515846505,2020-06-04,Trata,Explotación laboral,Acusado,Argentina,Entre Ríos,San Jose de Feliciano,Mujer,No especifica,No,No,30.0
564,6515846505,2020-06-04,Trata,Explotación sexual,Victima directa,Argentina,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
565,6515846505,2020-06-04,Trata,Explotación sexual,Victima directa,Argentina,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
572,545846505,2020-06-06,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,Argentina,Tucumán,Santa Ana,Hombre,40.0,No,No,90.0
573,545846505,2020-06-06,Trata,"Explotación sexual niñas, niños y adolescentes",Victima directa,Argentina,Tucumán,Santa Ana,Mujer,16.0,No,No,90.0
574,545846505,2020-06-06,Trata,"Explotación sexual niñas, niños y adolescentes",Victima directa,Argentina,Tucumán,Santa Ana,Mujer,17.0,No,No,90.0
587,505946505,2020-06-17,Trata,Explotación laboral,Acusado,Argentina,No especifica,No especifica,Hombre,No especifica,No,No,No especifica
588,4505946505,2020-06-18,Trata,Pornografía infantil,Imputado,Argentina,Buenos Aires,Verónica,Hombre,19.0,No,No,6.0
589,4505946505,2020-06-18,Trata,Pornografía infantil,Victima directa,Argentina,No especifica,No especifica,Mujer,14.0,No,No,No especifica
611,7505845505,2020-02-11,Trata,Explotación laboral,Victima directa,Bolivia,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
612,7505845505,2020-02-11,Trata,Explotación laboral,Victima directa,Bolivia,No especifica,No especifica,Hombre,No especifica,No,No,No especifica
613,9415845505,2020-02-11,Trata,Oferta laboral engañosa,Victima directa,Argentina,Buenos Aires,Villa Luzuriaga,Hombre,No especifica,No,No,6.0
614,9415845505,2020-02-11,Trata,Oferta laboral engañosa,Victima indirecta - familiar,Argentina,Buenos Aires,Villa Luzuriaga,Mujer,No especifica,No,No,6.0
615,3535946505,2020-06-24,Trata,"Explotación laboral niñas, niños y adolescentes, violencia física a niños",Victima directa,Argentina,No especifica,No especifica,Hombre,12.0,No,No,No especifica
616,3535946505,2020-06-24,Trata,"Explotación laboral niñas, niños y adolescentes, violencia física a niños",Victima directa,Argentina,No especifica,No especifica,Hombre,14.0,No,No,No especifica
619,6535946505,2020-06-24,Trata,Explotación sexual,Acusado,Argentina,Buenos Aires,San Miguel,Transexual,No especifica,No,No,6.0
621,2545946505,2020-06-25,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,Paraguay,Buenos Aires,Morón,Mujer,No especifica,No,No,6.0
622,4545946505,2020-06-25,Trata,"Explotación laboral niñas, niños y adolescentes",Victima directa,Argentina,Buenos Aires,Berazategui,Mujer,No especifica,No,No,6.0
626,6545946505,2020-06-25,Trata,Oferta laboral engañosa,Victima directa,Peru,Mendoza,Guaymallén,Mujer,No especifica,No,No,50.0
632,5565946505,2020-06-28,Trata,Grooming,Victima directa,Argentina,Buenos Aires,Los Cardales,Mujer,14.0,No,No,6.0
640,6575946505,2020-06-30,Trata,Explotación sexual,Acusado,Argentina,Buenos Aires,San Miguel,Transexual,No especifica,No,No,6.0
642,584056505,2020-07-01,Trata,Explotación sexual,Acusado,Argentina,Córdoba,salsipuedes,Hombre,No especifica,No,No,14.0
647,1594056505,2020-07-03,Trata,Explotación laboral,Victima directa,Paraguay,No especifica,No especifica,Mujer,47.0,No,No,No especifica
648,1594056505,2020-07-03,Trata,Explotación laboral,Victima directa,Argentina,Buenos Aires,No especifica,Mujer,95.0,No,No,6.0
654,9415056505,2020-07-05,Trata,"Explotación sexual niñas, niños y adolescentes",Victima directa,Argentina,Santa Fe,Santa Fe,Mujer,15.0,No,No,82.0
661,6525056505,2020-07-08,Trata,Posible captación,Victima directa,Venezuela,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
666,1535056505,2020-07-09,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,Argentina,Córdoba,Villa Allende,Mujer,50.0,No,No,14.0
672,5555056505,2020-07-15,Trata,"Explotación sexual, explotación sexual niñas, niños y adolescentes, posible captación, traslado de personas",Acusado,Argentina,No especifica,No especifica,Hombre,No especifica,No,No,No especifica
673,5555056505,2020-07-15,Trata,"Explotación sexual, explotación sexual niñas, niños y adolescentes, posible captación, traslado de personas",Acusado,Argentina,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
674,5555056505,2020-07-15,Trata,"Explotación sexual, explotación sexual niñas, niños y adolescentes, posible captación, traslado de personas",Acusado,Argentina,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
675,5555056505,2020-07-15,Trata,"Explotación sexual, explotación sexual niñas, niños y adolescentes, posible captación, traslado de personas",Acusado,Argentina,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
678,8465056505,2020-07-16,Trata,Explotación sexual,Victima directa,Brasil,Tierra del Fuego,Rio Grande,Mujer,No especifica,No,No,94.0
679,8465056505,2020-07-16,Trata,Explotación sexual,Acusado,Argentina,Tierra del Fuego,Tolhuin,Hombre,No especifica,No,No,94.0
680,3565056505,2020-07-17,Trata,Explotación sexual,Victima directa,Argentina,Buenos Aires,Mar del Plata,Mujer,23.0,No,No,6.0
681,5565056505,2020-07-17,Trata,Explotación laboral,Acusado,Chile,Tierra del Fuego,Río Grande,Hombre,No especifica,No,No,94.0
692,2584156505,2020-07-20,Trata,Persona desaparecida,Victima directa,Uruguay,No especifica,No especifica,Mujer,23.0,No,No,No especifica
699,6584156505,2020-07-21,Trata,Explotación sexual,Victima directa,Argentina,Córdoba,Río Cuarto,Mujer,33.0,No,No,14.0
700,6584156505,2020-07-21,Trata,Explotación sexual,Victima directa,Argentina,Córdoba,Río Cuarto,Mujer,40.0,No,No,14.0
704,8405156505,2020-07-22,Trata,Explotación laboral,Acusado,Bolivia,No especifica,No especifica,Hombre,No especifica,No,No,No especifica
705,8405156505,2020-07-22,Trata,Explotación laboral,Acusado,Bolivia,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
706,8405156505,2020-07-22,Trata,Explotación laboral,Victima directa,Bolivia,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
710,9415156505,2020-07-24,Trata,Robo de identidad,Acusado,Argentina,Santa Fe,Rafaela,Mujer,19.0,No,No,82.0
712,4515156505,2020-07-25,Trata,Explotación laboral,Acusado,Argentina,Buenos Aires,Melchor Romero,Mujer,No especifica,No,No,6.0
716,9425156505,2020-07-26,Trata,Explotación sexual,Victima directa,Argentina,Buenos Aires,Florencio Varela,Mujer,21.0,No,No,6.0
717,9425156505,2020-07-26,Trata,Explotación sexual,Acusado,Argentina,Buenos Aires,Florencio Varela,Mujer,39.0,No,No,6.0
718,525156505,2020-07-26,Trata,Explotación sexual,Victima directa,Argentina,Buenos Aires,Florencio Varela,Mujer,21.0,No,No,6.0
719,525156505,2020-07-26,Trata,Explotación sexual,Acusado,Argentina,Buenos Aires,Florencio Varela,Mujer,39.0,No,No,6.0
720,2535156505,2020-07-28,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,Argentina,Mendoza,Godoy Cruz,Hombre,50.0,No,No,50.0
734,565156505,2020-07-31,Trata,Explotación sexual,Acusado,Argentina,No especifica,No especifica,Mujer,27.0,No,No,No especifica
735,565156505,2020-07-31,Trata,Explotación sexual,Acusado,Argentina,No especifica,No especifica,Mujer,24.0,No,No,No especifica
736,1565156505,2020-07-31,Trata,Explotación laboral,Acusado,Argentina,No especifica,No especifica,Hombre,No especifica,No,No,No especifica
737,1565156505,2020-07-31,Trata,Explotación laboral,Acusado,Argentina,No especifica,No especifica,Hombre,50.0,No,No,No especifica
744,6594256505,2020-08-01,Trata,Explotación laboral,Victima directa,Venezuela,No especifica,No especifica,Hombre,No especifica,No,No,No especifica
745,6594256505,2020-08-01,Trata,Explotación laboral,Victima directa,Venezuela,No especifica,No especifica,Hombre,No especifica,No,No,No especifica
746,3505256505,2020-08-02,Trata,Explotación sexual,Victima directa,Argentina,No especifica,No especifica,Mujer,29.0,No,No,No especifica
747,505256505,2020-08-02,Trata,Oferta laboral engañosa,Victima directa,Venezuela,No especifica,No especifica,Hombre,No especifica,No,No,No especifica
748,505256505,2020-08-02,Trata,Oferta laboral engañosa,Acusado,Argentina,Río Negro,Las Grutas,Hombre,No especifica,No,No,62.0
749,4505256505,2020-08-02,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,Argentina,Misiones,San Javier,Mujer,43.0,No,No,54.0
750,4505256505,2020-08-02,Trata,"Explotación sexual niñas, niños y adolescentes",Victima directa,Argentina,Misiones,San Javier,Mujer,14.0,No,No,54.0
751,6505256505,2020-08-02,Trata,Explotación sexual,Victima directa,Argentina,Neuquén,Neuquén,Hombre,24.0,No,No,58.0
758,6525256505,2020-08-04,Trata,Explotación sexual,Acusado,Paraguay,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
759,6525256505,2020-08-04,Trata,Explotación sexual,Acusado,Paraguay,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
760,6525256505,2020-08-04,Trata,Explotación sexual,Acusado,Paraguay,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
763,6535256505,2020-08-04,Trata,Explotación laboral,Victima directa,Argentina,No especifica,No especifica,Hombre,44.0,No,No,No especifica
764,6535256505,2020-08-04,Trata,Explotación laboral,Victima directa,Argentina,No especifica,No especifica,Hombre,41.0,No,No,No especifica
765,6535256505,2020-08-04,Trata,Explotación laboral,Victima directa,Argentina,No especifica,No especifica,Hombre,No especifica,No,No,No especifica
766,7535256505,2020-08-04,Trata,Explotación sexual,Victima directa,Argentina,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
767,7535256505,2020-08-04,Trata,Explotación sexual,Victima directa,Paraguay,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
768,7535256505,2020-08-04,Trata,Explotación sexual,Acusado,Argentina,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
769,5545256505,2020-08-05,Trata,Explotación laboral,Victima directa,Paraguay,No especifica,No especifica,Mujer,21.0,No,No,No especifica
770,6545256505,2020-08-05,Trata,Explotación sexual,Victima directa,Argentina,Buenos Aires,Avellaneda,Mujer,No especifica,No,No,6.0
771,8455256505,2020-08-05,Trata,"Explotación sexual, posible captación",Acusado,Argentina,No especifica,No especifica,Hombre,No especifica,No,No,No especifica
772,1555256505,2020-08-05,Trata,Venta de niños y otros delitos,Victima directa,Argentina,Tucumán,ALDERETE,Mujer,32.0,No,No,90.0
773,1555256505,2020-08-05,Trata,Venta de niños y otros delitos,Acusado,Argentina,No especifica,No especifica,Hombre,49.0,No,No,No especifica
775,5565256505,2020-08-07,Trata,Otro,Acusado,Argentina,Chubut,Comodoro Rivadavia,Hombre,42.0,No,No,26.0
776,5565256505,2020-08-07,Trata,Otro,Victima indirecta - familiar,Bolivia,Chubut,Comodoro Rivadavia,Mujer,No especifica,No,No,26.0
777,8475256505,2020-08-07,Trata,"Explotación laboral niñas, niños y adolescentes",Acusado,Peru,No especifica,No especifica,Hombre,No especifica,No,No,No especifica
778,9475256505,2020-08-07,Trata,Oferta laboral engañosa,Acusado,No especifica,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
780,4575256505,2020-08-07,Trata,Explotación sexual,Victima directa,Argentina,Neuquén,Neuquén,Hombre,No especifica,No,No,58.0
784,4594356505,2020-08-09,Trata,Abuso sexual infantil,Acusado,Argentina,Chubut,Comodoro Rivadavia,Hombre,No especifica,No,No,26.0
785,4594356505,2020-08-09,Trata,Abuso sexual infantil,Victima indirecta - familiar,Bolivia,Chubut,Comodoro Rivadavia,Mujer,No especifica,No,No,26.0
790,6505356505,2020-08-11,Trata,Explotación laboral,Victima directa,Paraguay,Buenos Aires,Ciudad Autónoma de Buenos Aires Ciudad Autónoma de Buenos Aires,Mujer,35.0,No,No,6.0
794,9415356505,2020-08-11,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,Argentina,Tucumán,El Bañado,Hombre,50.0,No,No,90.0
795,9415356505,2020-08-11,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,Argentina,Tucumán,Tafí del Valle,Mujer,43.0,No,No,90.0
796,9415356505,2020-08-11,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,Argentina,Tucumán,Tafí del Valle,Hombre,20.0,No,No,90.0
799,5525356505,2020-08-12,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,Argentina,Buenos Aires,Del Viso,Mujer,40.0,No,No,6.0
807,555356505,2020-08-14,Trata,"Explotación sexual niñas, niños y adolescentes",Acusado,Argentina,No especifica,No especifica,Hombre,No especifica,No,No,No especifica
810,3565356505,2020-08-14,Trata,Explotación sexual,Victima directa,Chile,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
813,5505456505,2020-08-16,Trata,Explotación sexual,Acusado,Paraguay,Buenos Aires,Caseros,Mujer,No especifica,No,No,6.0
814,2515456505,2020-08-17,Trata,Persona desaparecida,Victima directa,Argentina,Buenos Aires,Esteban Echeverría,Mujer,No especifica,No,No,6.0
815,7515456505,2020-08-17,Trata,Persona desaparecida,Victima directa,Argentina,Buenos Aires,Esteban Echeverría,Mujer,No especifica,No,No,6.0
820,8455456505,2020-08-18,Trata,Venta de niños y otros delitos,Victima directa,Bolivia,No especifica,No especifica,Mujer,No especifica,No,No,No especifica
821,8455456505,2020-08-18,Trata,Venta de niños y otros delitos,Acusado,Peru,Buenos Aires,Ciudad Autónoma de Buenos Aires,Hombre,No especifica,No,No,6.0
822,9455456505,2020-08-18,Trata,Explotación sexual,Victima directa,Paraguay,Buenos Aires,José León Suárez,Mujer,38.0,No,No,6.0
823,9455456505,2020-08-18,Trata,Explotación sexual,Acusado,Paraguay,Buenos Aires,Cuartel V,Hombre,50.0,No,No,6.0
824,5555456505,2020-08-18,Trata,Venta de niños y otros delitos,Victima directa,Bolivia,No especifica,No especifica,Mujer,23.0,No,No,No especifica
827,5555456505,2020-08-18,Trata,Venta de niños y otros delitos,Acusado,Peru,Buenos Aires,Ciudad Autónoma de Buenos Aires,Hombre,No especifica,No,No,6.0
